,Raices,Cotas,Orden de convergencia,constante asintotica
0,6.375,110.53456495960498,0.0,0.0
1,5.3125,51.49905867436141,0.0,0.0
2,4.78125,29.046725166941627,0.0,0.53125
3,4.515625,14.935512062190952,1.0,0.265625
4,4.3828125,7.519274715935495,1.0,0.1328125
5,4.44921875,3.762397287512755,1.0,0.5
6,4.482421875,1.8792436936619765,1.0,0.5
7,4.4990234375,0.9390324868761013,1.0,0.5
8,4.49072265625,0.4694641353932525,1.0,0.5
9,4.494873046875,0.2347453193114859,1.0,0.5
10,4.4969482421875,0.11736274902003174,1.0,0.5
11,4.49798583984375,0.058678872285099715,1.0,0.5
12,4.498504638671875,0.02933880751555762,1.0,0.5
13,4.4987640380859375,0.014669246217181353,1.0,0.5
14,4.498893737792969,0.0073345836754583615,1.0,0.5
15,4.498828887939453,0.0036672885502184727,1.0,0.5
16,4.498796463012695,0.001833646740834638,1.0,0.5
17,4.498812675476074,0.0009168235758636456,1.0,0.5
18,4.498820781707764,0.0004584116338435251,1.0,0.5
19,4.498824834823608,0.00022920577839613543,1.0,0.5
20,4.498822808265686,0.00011460288598641455,1.0,0.5
21,4.498821794986725,5.730144539484172e-05,1.0,0.5
22,4.4988223016262054,2.8650722896372827e-05,1.0,0.5
23,4.498822554945946,1.4325361320288721e-05,1.0,0.5
24,4.498822428286076,7.162680674355215e-06,1.0,0.5
25,4.4988223649561405,3.5813402803341887e-06,1.0,0.5
26,4.498822333291173,1.790670154377949e-06,1.0,0.5
27,4.498822317458689,8.953350913998293e-07,1.0,0.5
28,4.498822309542447,4.476675314890599e-07,1.0,0.5
29,4.498822305584326,2.238338083770941e-07,1.0,0.5
30,4.498822307563387,1.1191687576683762e-07,1.0,0.5
31,4.498822306573857,5.5958395250854664e-08,1.0,0.5
32,4.4988223060790915,2.7979240257991478e-08,1.0,0.5
33,4.498822306326474,1.3989620128995739e-08,1.0,0.5
34,4.498822306202783,6.9948100644978695e-09,1.0,0.5
35,4.498822306264628,3.4973766105395043e-09,1.0,0.5
36,4.498822306295551,1.7487309378338978e-09,1.0,0.5
37,4.498822306311013,8.743370472075185e-10,1.0,0.5
38,4.498822306303282,4.3721115616790485e-10,1.0,0.5
39,4.498822306299417,2.1853452381037641e-10,1.0,0.5
40,4.498822306301349,1.0928147275990341e-10,1.0,0.5
41,4.498822306302316,5.45981038158061e-11,1.0,0.5
42,4.498822306302799,2.737010618147906e-11,1.0,0.5
43,4.49882230630304,1.3642420526593924e-11,1.0,0.5
44,4.49882230630292,6.821210263296962e-12,1.0,0.5
45,4.498822306302859,3.410605131648481e-12,1.0,0.5
46,4.498822306302889,1.7053025658242404e-12,1.0,0.5
47,4.4988223063029045,7.958078640513122e-13,1.0,0.5
48,4.4988223063029125,4.831690603168681e-13,0.9175378398080271,0.5294117647058824
49,4.498822306302909,1.7053025658242404e-13,1.2750700305581852,0.4444444444444444
50,4.498822306302911,1.1368683772161603e-13,0.8547556456757274,0.03216903146768424
51,4.49882230630291,5.684341886080802e-14,1.0,0.03216903146768424
